esfera,identificador,ano,tipo,tema_principal,url_oficial,status_revisao,hash_documento
Federal,Lei 14.133,2021,Lei,Licitações,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14133.htm,revisado,db3798176475f7ff76084af02a44af09c04084a6c2d682a81318e41cd1282a35
Federal,LC 182,2021,Lei Complementar,Startups,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp182.htm,revisado,d749052a0b08ef812595ffba36986abf4cf89125190d468967cdadd14a1ee456
Federal,Decreto 11.630,2023,Decreto,Inovações PAC,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11630.htm,revisado,bbc449d43c6f635fe7dfe6e7d39904ecc52eefee3abe8ac0223ca4e0c10af163
Federal,Decreto 12.705,2025,Decreto,Taxonomia Sustentável,,revisado,
Federal,Decreto 12.771,2025,Decreto,ENCP,,revisado,
Federal,Resolução CD/FNDE 11,2026,Resolução,FNDE,https://www.gov.br/fnde/pt-br/acesso-a-informacao/legislacao/resolucoes/2026/resolucao-cd-fnde-no-11-de-22-de-junho-de-2026,revisado,f64d920a6ca13937fcc0d31c80282e4358685563e6d71b810718d5f6bed71f8f
PB,Lei 12.191,2022,Lei,Inovação,,revisado,
PB,Decreto 45.710,2024,Decreto,Credenciamento,,revisado,
PB,Decreto 42.967,2022,Decreto,Pesquisa Preços,,revisado,
PB,Decreto 43.975,2023,Decreto,Contratos,,revisado,
PB,Lei 8.292,2007,Lei,MPE,,revisado,
PB,Decreto 32.056,2011,Decreto,Compras MPE,,revisado,
PB,Decreto 43.346,2022,Decreto,Logística Reversa,,revisado,
SE,Lei 8.747,2020,Lei,ME/EPP,,revisado,
SE,Lei 9.493,2024,Lei,Altera ME/EPP,,revisado,
SE,Lei 9.315,2023,Lei,Agente de Contratação,,revisado,
SE,Decreto 342,2023,Decreto,Aquisição Bens,,revisado,
SE,Decreto 368,2023,Decreto,Obras BIM,,revisado,
SE,Decreto 567,2024,Decreto,Plano Anual,,revisado,
SE,Decreto 622,2024,Decreto,Compras Sustentáveis,,revisado,
SE,Decreto 623,2024,Decreto,Selo Socioambiental,,revisado,
SE,Lei 8.866,2021,Lei,Programa Integridade,,revisado,
Federal,LC 123,2006,Lei Complementar,Estatuto da Micro e Pequena Empresa,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp123.htm,revisado,c483713ee08bd5fe74ac61d56c306b279050f177578150ee4445d8fe6f2c6494
PB,Decreto 46.187,2025,Decreto,Fase preparatória e contratações diretas,https://centraldecompras.pb.gov.br/appls/sgc/transparencia.nsf/0/C1B315B1C5FA06A503258C35006AAAAD/$FILE/Decreto%2046.187%20de%2028.01.2025%20-%20Dispõe%20sobre%20a%20fase%20preparatoria.pdf,revisado,
PB,Decreto 41.200,2021,Decreto,Aplicabilidade Lei 14.133 e Contratação Direta,https://centraldecompras.pb.gov.br/appls/ccompras/central.nsf/diario-oficial-27-04-2021%20Pag2-3.pdf?OpenFileResource,revisado,
PB,IN SEAD 004,2023,Instrução Normativa,Regras de Licitação,https://centraldecompras.pb.gov.br/appls/ccompras/central.nsf/INSTRUÇÃO%20NORMATIVA%20SEAD%20Nº%20004_2023.pdf?OpenFileResource,revisado,
PB,IN SEAD 005,2023,Instrução Normativa,Menor Preço ou Maior Desconto,https://centraldecompras.pb.gov.br/appls/ccompras/central.nsf/INSTRUÇÃO%20NORMATIVA%20SEAD%20Nº%20005_2023.pdf?OpenFileResource,revisado,
PB,IN SEAD 006,2023,Instrução Normativa,Técnica e Preço,https://centraldecompras.pb.gov.br/appls/ccompras/central.nsf/INSTRUÇÃO%20NORMATIVA%20SEAD%20Nº%20006_2023.pdf?OpenFileResource,revisado,
PB,IN SEAD 007,2023,Instrução Normativa,Execução Indireta,https://centraldecompras.pb.gov.br/appls/ccompras/central.nsf/INSTRUCAO%20NORMATIVA%20SEAD%20N%20007.2023.pdf?OpenFileResource,revisado,
PB,Portaria Conjunta 001,2024,Portaria,Operacionalização Lei 14.133,https://centraldecompras.pb.gov.br/appls/sgc/transparencia.nsf/0/6E2CECEE8C449D0C03258AEB00550C9B/$FILE/,revisado,
PB,ON Conjunta 0001,2025,Orientação Normativa,Licitação e Contratação Direta,https://centraldecompras.pb.gov.br/appls/sgc/transparencia.nsf/0/1BC3EF79B230A90803258C9900602B4E/$FILE/ORIENTACAO.pdf,revisado,
