ano,descricao,quantidade,unidadeMedida,valorUnitarioEstimado,valorTotalEstimado,valorUnitarioHomologado,tipoPessoa,cpfCnpjFornecedor,razaoSocialFornecedor,nuProcesso,ano_referencia
2024,"PLACAR full color P10 LEDs: — P10 Outdoor; — Píxel formado por 1 LED SMD 3535; - Vermelho (Red): 620 – 625 nm; 690 – 900 mcd; — Verde (Green): 518 – 523 nm; 760 – 960 mcd; - Azul (Blue): 466 – 471 nm; 420 – 545 mcd; — Módulo de LEDs 320 × 160 mm (32×16 píxeis); - Vida útil do LED: 100.000 horas; gabinetes: — Em aço carbono pintado em preto; - Manutenção traseira; - IP65 frontal e traseiro; - Área em LED: 8,64 x 3,20 m (Aproximadamente 27m²) - Brilho: 5.500 CD/m²; - Controle de brilho: 100 níveis, com ajuste manual via software; - Quantidade de cores: 280 trilhões de cores; - Temperatura de cor: 5000 – 9500 K ajustável por software; - Densidade de píxeis: 10.000 píxeis/m²; - Distância de visualização: a partir de 10 metros; - Ângulo de visualização horizontal: +/-140 graus; - Ângulo de visualização vertical: +/-140 graus; - Refresh: >1920 Hz; - Frame rate: 60 Hz; - Temperatura de operação: -20°C a +65°C; — Umidade: 10 – 95%; - Potência máxima: 650 W/m². Plataforma gerenciadora — Software com exibição de vários formatos de mídia como BMP, JPG, GIF, PCX, MPG, MPEG, MPV, MPA, AVI, VCD, SWF, RM, RA, RMJe ASF. Conforme termo de referência.",3.0,Un,790000.0,2370000.0,559990.0,PJ,05681400000123,IMPLY TECNOLOGIA ELETRONICA LTDA,07.000.000006.2024,2024
2024,"SERVIÇO especializado em Iluminação, conforme detalhamento em termo de referência. ",1.0,Un,3900000.0,3900000.0,2584230.0,PJ,36519537000100,A.R.Z. INDUSTRIA DE LUMINARIAS E ENERGIAS RENOVAVEIS LTDA,07.000.000009.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,39820.0,39820.0,39820.0,PJ,44299172000183,MCL SERVICOS LTDA,07.000.000052.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,1054344.0,1054344.0,2095584.1,PJ,10744571000194,CONCRENOR CONSTRUCOES DO NORDESTE EIRELI,07.000.000057.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,2108688.0,2108688.0,1011258.2,PJ,10744571000194,CONCRENOR CONSTRUCOES DO NORDESTE EIRELI,07.000.000057.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,14210.5,14210.5,14210.5,PJ,32910273000160,T.R. CRONO COMERCIO E SERVIÇOS LTDA,07.000.000062.2024,2024
2024,CONTRATAÇÃO de empresa especializada no serviço de arbitragem de modalidades esportivas Olímpicas e Paraolímpicas. Conforme detalhamento em documento Anexo. ,1.0,Un,352000.0,352000.0,352000.0,PJ,10498530000165,ASSOCIACAO DAS FEDERACOES DE ESPORTES DA PARAIBA,07.000.000074.2024,2024
2024,BALCÃO de atendimento medindo 3000 × 1000 × 1035 mm (LxPxH) Tampo de atendimento reto em madeira aglomerada medindo 2000 × 300 mm. Conforme termo de referência.,1.0,Un,19000.0,19000.0,19000.0,PJ,25071568000124,CENTRA MOVEIS S/A,07.000.000079.2024,2024
2024,CONTRATAÇÃO de empresa especializada no serviço de arbitragem de modalidades esportivas Olímpicas e Paraolímpicas. Conforme detalhamento em documento Anexo. ,1.0,Un,749160.0,749160.0,749160.0,PJ,10498530000165,ASSOCIACAO DAS FEDERACOES DE ESPORTES DA PARAIBA,07.000.000108.2024,2024
2024,"INSCRIÇÃO individual em congresso, conforme Termo de Referência.",4.0,Un,2626.4,10505.6,2626.4,PJ,32632083000128,ESTRATEGIA TREINAMENTOS LTDA,07.000.000215.2024,2024
2024,"SERVIÇO técnico profissional em geral, pessoa jurídica, incluindo fornecimento de material. O detalhamento do serviço está especificado em termo de referência.",1.0,Un,31000.0,31000.0,31000.0,PJ,05548063000109,EDITORA E GRAFICA META LTDA,07.000.000267.2024,2024
2024,"LOCAÇÃO DE SISTEMA DE SOM 02 caixa de som ativa tipo trapezoidal Potência 100W RMS Alto falante de 10” Corneta com Drive de Titânio Corte de frequência em 3,5Khz Resposta de Frequência 45Hz-20Khz Impedância 8 Ohms Sensibilidade 97db 01 MESA DE SOM ESTÉREO 4 CANAIS 4 canais (2 mono + 1 stereo) Sendo entrada XLR e de linha P-10 nos canais mono Efeito Reverb Equalizador gráfico de 7 bandas Entrada USB com tela de LCD +48v phantom power Equalização de 2 vias (grave e agudo) por canal Saída para fone de ouvido Bivolt 110/220 volts 02 MICROFONE SEM FIO UHF DUPLO Sinal/Ruído: 95dB Distorção:  0.5% Estabilidade de Frequência:  0.005% Saída de RF: -100dBm Imagem de Rejeição Espelhada:  45dB Faixa de Frequência: 614~806MHz Nível de Saída de Áudio:  1V (10K) Alimentação: DC12V 500MA.",1.0,Diaria,7400.0,7400.0,4000.0,PJ,27222706000154,ROZANGELA PIRES DE OLIVEIRA DANTAS 05989822480,07.000.000428.2024,2024
2024,"SERVIÇO de locação de 01 palco, com estrutura de ferro e tablado em madeira, medindo 8 x 6 m.",1.0,Un,4000.0,4000.0,7400.0,PJ,27222706000154,ROZANGELA PIRES DE OLIVEIRA DANTAS 05989822480,07.000.000428.2024,2024
2024,"CONJUNTO Jaqueta/Calça: jaqueta preta com degrade vermelho e preto, bolso com zíper nas laterais da frente, calça preta detalhe na lateral em transfer degrade preto e vermelho, forro do bolso com telinha, bolso com zíper. Conforme termo de referência.",316.0,Un,95.0,30020.0,95.0,PJ,49399350000161,RAPIDO TEXTIL LTDA,07.000.000545.2024,2024
2024,"MEDALHA em acrílico, adesivo com impressão digital e resina, personalizada. Medindo 6cm de diâmetro.",3300.0,Un,9.8,32340.0,9.8,PJ,41122714000150,IVANILDO MOREIRA PALITO-ME,07.000.000550.2024,2024
