Seção;Classe;Nome
A;1113;Cultivo de cereais
A;1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
A;1130;Cultivo de cana-de-açúcar
A;1148;Cultivo de fumo
A;1156;Cultivo de soja
A;1164;Cultivo de oleaginosas de lavoura temporária, exceto soja
A;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente
A;1211;Horticultura
A;1229;Cultivo de flores e plantas ornamentais
A;1318;Cultivo de laranja
A;1326;Cultivo de uva
A;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva
A;1342;Cultivo de café
A;1351;Cultivo de cacau
A;1393;Cultivo de plantas de lavoura permanente não especificadas anteriormente
A;1415;Produção de sementes certificadas
A;1423;Produção de mudas e outras formas de propagação vegetal, certificadas
A;1512;Criação de bovinos
A;1521;Criação de outros animais de grande porte
A;1539;Criação de caprinos e ovinos
A;1547;Criação de suínos
A;1555;Criação de aves
A;1598;Criação de animais não especificados anteriormente
A;1610;Atividades de apoio à agricultura
A;1628;Atividades de apoio à pecuária
A;1636;Atividades de pós-colheita
A;1709;Caça e serviços relacionados
A;2101;Produção florestal - florestas plantadas
A;2209;Produção florestal - florestas nativas
A;2306;Atividades de apoio à produção florestal
A;3116;Pesca em água salgada
A;3124;Pesca em água doce
A;3213;Aqüicultura em água salgada e salobra
A;3221;Aqüicultura em água doce
B;5003;Extração de carvão mineral
B;6000;Extração de petróleo e gás natural
B;7103;Extração de minério de ferro
B;7219;Extração de minério de alumínio
B;7227;Extração de minério de estanho
B;7235;Extração de minério de manganês
B;7243;Extração de minério de metais preciosos
B;7251;Extração de minerais radioativos
B;7294;Extração de minerais metálicos não-ferrosos não especificados anteriormente
B;8100;Extração de pedra, areia e argila
B;8916;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
B;8924;Extração e refino de sal marinho e sal-gema
B;8932;Extração de gemas (pedras preciosas e semipreciosas)
B;8991;Extração de minerais não-metálicos não especificados anteriormente
B;9106;Atividades de apoio à extração de petróleo e gás natural
B;9904;Atividades de apoio à extração de minerais, exceto petróleo e gás natural
C;10112;Abate de reses, exceto suínos
C;10121;Abate de suínos, aves e outros pequenos animais
C;10139;Fabricação de produtos de carne
C;10201;Preservação do pescado e fabricação de produtos do pescado
C;10317;Fabricação de conservas de frutas
C;10325;Fabricação de conservas de legumes e outros vegetais
C;10333;Fabricação de sucos de frutas, hortaliças e legumes
C;10414;Fabricação de óleos vegetais em bruto, exceto óleo de milho
C;10422;Fabricação de óleos vegetais refinados, exceto óleo de milho
C;10431;Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
C;10511;Preparação do leite
C;10520;Fabricação de laticínios
C;10538;Fabricação de sorvetes e outros gelados comestíveis
C;10619;Beneficiamento de arroz e fabricação de produtos do arroz
C;10627;Moagem de trigo e fabricação de derivados
C;10635;Fabricação de farinha de mandioca e derivados
C;10643;Fabricação de farinha de milho e derivados, exceto óleos de milho
C;10651;Fabricação de amidos e féculas de vegetais e de óleos de milho
C;10660;Fabricação de alimentos para animais
C;10694;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
C;10716;Fabricação de açúcar em bruto
C;10724;Fabricação de açúcar refinado
C;10813;Torrefação e moagem de café
C;10821;Fabricação de produtos à base de café
C;10911;Fabricação de produtos de panificação
C;10929;Fabricação de biscoitos e bolachas
C;10937;Fabricação de produtos derivados do cacau, de chocolates e confeitos
C;10945;Fabricação de massas alimentícias
C;10953;Fabricação de especiarias, molhos, temperos e condimentos
C;10961;Fabricação de alimentos e pratos prontos
C;10996;Fabricação de produtos alimentícios não especificados anteriormente
C;11119;Fabricação de aguardentes e outras bebidas destiladas
C;11127;Fabricação de vinho
C;11135;Fabricação de malte, cervejas e chopes
C;11216;Fabricação de águas envasadas
C;11224;Fabricação de refrigerantes e de outras bebidas não-alcoólicas
C;12107;Processamento industrial do fumo
C;12204;Fabricação de produtos do fumo
C;13111;Preparação e fiação de fibras de algodão
C;13120;Preparação e fiação de fibras têxteis naturais, exceto algodão
C;13138;Fiação de fibras artificiais e sintéticas
C;13146;Fabricação de linhas para costurar e bordar
C;13219;Tecelagem de fios de algodão
C;13227;Tecelagem de fios de fibras têxteis naturais, exceto algodão
C;13235;Tecelagem de fios de fibras artificiais e sintéticas
C;13308;Fabricação de tecidos de malha
C;13405;Acabamentos em fios, tecidos e artefatos têxteis
C;13511;Fabricação de artefatos têxteis para uso doméstico
C;13529;Fabricação de artefatos de tapeçaria
C;13537;Fabricação de artefatos de cordoaria
C;13545;Fabricação de tecidos especiais, inclusive artefatos
C;13596;Fabricação de outros produtos têxteis não especificados anteriormente
C;14118;Confecção de roupas íntimas
C;14126;Confecção de peças do vestuário, exceto roupas íntimas
C;14134;Confecção de roupas profissionais
C;14142;Fabricação de acessórios do vestuário, exceto para segurança e proteção
C;14215;Fabricação de meias
C;14223;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias
C;15106;Curtimento e outras preparações de couro
C;15211;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material
C;15297;Fabricação de artefatos de couro não especificados anteriormente
C;15319;Fabricação de calçados de couro
C;15327;Fabricação de tênis de qualquer material
C;15335;Fabricação de calçados de material sintético
C;15394;Fabricação de calçados de materiais não especificados anteriormente
C;15408;Fabricação de partes para calçados, de qualquer material
C;16102;Desdobramento de madeira
C;16218;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada
C;16226;Fabricação de estruturas de madeira e de artigos de carpintaria para construção
C;16234;Fabricação de artefatos de tanoaria e de embalagens de madeira
C;16293;Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis
C;17109;Fabricação de celulose e outras pastas para a fabricação de papel
C;17214;Fabricação de papel
C;17222;Fabricação de cartolina e papel-cartão
C;17311;Fabricação de embalagens de papel
C;17320;Fabricação de embalagens de cartolina e papel-cartão
